,old_formation,EE,change_to
1979,Gerster,absent,Gerster
9595,Getkilna,present,Getkilna
1980,Geumcheon,absent,Geumcheon
9316,Geumcheon-Jangseong,present,Geumcheon-Jangseong
10126,Gevanim,present,Gevanim
8690,Ghalilah,present,Ghalilah
1981,Ghared,absent,Ghared
1982,Gharra,absent,Gharra
1983,Ghasr Ghand,absent,Ghasr Ghand
1984,Ghat,absent,Ghat
7024,Ghazij,present,Ghazij
8555,Gheldeis,present,Gheldeis
8553,Ghibirti,present,Ghibirti
1985,Ghomrassen,absent,Ghomrassen
1986,Ghost Creek,absent,Ghost Creek
1987,Ghrudaidh,absent,Ghrudaidh
1988,Ghtira Limestone,absent,Ghtira Limestone
8448,Ghubbarah,present,Ghubbarah
8556,Gianti,present,Gianti
8001,Gibraltar Limestone,present,Gibraltar Limestone
9168,Gijon,present,Gijon
9910,Gijón,present,Gijon
1989,Gilbert,absent,Gilbert
7858,Gilboa,present,Gilboa
8179,Gildehausen Sandstone,present,Gildehausen Sandstone
1990,Gilgurry Mudstone,absent,Gilgurry Mudstone
1991,Gillberga,absent,Gillberga
1992,Gilmore City,absent,Gilmore City
1993,Gilmore City Limestone,absent,Gilmore City Limestone
1994,Gindviliai,absent,Gindviliai
1995,Gingin,absent,Gingin Chalk
1996,Gingin Chalk,absent,Gingin Chalk
1997,Ginzan,absent,Ginzan
1998,Gippsland Limestone,absent,Gippsland Limestone
9069,Gipshuken,present,Gipshuken
1999,Giralia Calcarenite,absent,Giralia Calcarenite
2000,Girardeau Limestone,absent,Girardeau Limestone
8245,Girbova de Sus,present,Girbova de Sus
2001,Gircha,absent,Gircha
2002,Giro,absent,Giro
6434,Gislov,present,Gislov
2003,Giumal,absent,Giumal Sandstone
2004,Giumal Sandstone,absent,Giumal Sandstone
7686,Giushi,present,Giushi
2005,Givetian 1b facies,absent,Givetian 1b facies
10228,Gizhiga,present,Gizhiga
7150,Gladbach,present,Gladbach
2006,Glade Limestone,absent,Glade Limestone
9818,Glanville,present,Glanville
2007,Glarner Schiefer,absent,Glarner Schiefer
2008,Glauconitic Chalk,absent,Glauconitic Chalk
8644,Glauconitic Marl,present,Glauconitic Marl
2009,Glauzy,absent,Glauzy
2010,Gleitsch,absent,Gleitsch
7733,Glen Aire Clay,present,Glen Aire Clay
7067,Glen Aubrey,present,Glen Aubrey
2011,Glen Dean,absent,Glen Dean Limestone
2012,Glen Dean Limestone,absent,Glen Dean Limestone
2013,Glen Park,absent,Glen Rose Limestone
7186,Glen Rose Limestone,present,Glen Rose Limestone
2014,Glencar,absent,Glencar Limestone
2015,Glencar Limestone,absent,Glencar Limestone
2016,Glencartholm Volcanic Beds,absent,Glencartholm Volcanic Beds
2017,Glencoe,absent,Glencoe
2018,Glendale Limestone,absent,Glendale Limestone
9039,Glendon,present,Glendon Limestone
6986,Glendon Limestone,present,Glendon Limestone
2019,Glenerie Limestone,absent,Glenerie Limestone
8759,Glenforslan,present,Glenforslan
2020,Glenmore,absent,Glenmore
2021,Glenogle,absent,Glenogle Shales
2022,Glenogle Shales,absent,Glenogle Shales
8564,Glenshaw,present,Glenshaw
8708,Glimmerton,present,Glimmerton
2023,Glisstjärn,absent,Glisstjärn
9409,Gliwice,present,Gliwice
2024,Globigerina Limestone,absent,Globigerina Limestone
2025,Glowaczów,absent,Glowaczów
2026,Glubokaya,absent,Glubokaya
2027,Gluva,absent,Gluva
2028,Glyn Gower Siltstone,absent,Glyn Gower Siltstone
2029,Glyn Gower Siltstones,absent,Glyn Gower Siltstone
8075,Gniew,present,Gniew
2030,Gnishik,absent,Gnishik
2031,Goasquellou,absent,Goasquellou
2032,Goat Island,absent,Goat Island
9371,Gober Chalk,present,Gober Chalk
2033,Gögeren,absent,Gögeren
2034,Gogo,absent,Gogo
2035,Gogolin,absent,Gogolin
2036,Gogoliner Schichten,absent,Gogoliner Schichten
2037,Gokdere,absent,Gokdere
2038,Golconda,absent,Golconda
2039,Golden Valley,absent,Golden Valley
2040,Golf Course,absent,Golf Course
2041,Gomaniibrik,absent,Gomaniibrik
2042,Gonda,absent,Gonda
8651,Gongila,present,Gongila
2043,Gongwusu,absent,Gongwusu
