,old_formation,EE,change_to
490,Beacon Limstone,present,Beacon Limestone
7997,Bear Bluff,present,Bear Bluff
8636,Bear Creek,present,Bear Creek
491,Bear Creek Shale,present,Bear Creek
7617,Bear lake,present,Bear Lake
8188,Bear Lake,present,Bear Lake
492,Bear Rock,absent,Bear Rock
8641,Bearpaw,present,Bearpaw Shale
10120,Bearpaw Shale,present,Bearpaw Shale
493,Beartooth Butte,absent,Beartooth Butte
6831,Beattie,present,Beattie Limestone
7092,Beattie Limestone,present,Beattie Limestone
494,Beattie Ls,present,Beattie Limestone
495,Beattie Peaks,present,Beattie Limestone
6643,Beauharnois,present,Beauharnois
7394,Beaulieu,present,Beaulieu
496,Beaumaris Sandstone,absent,Beaumaris Sandstone
497,Beaverfoot,absent,Beaverfoot
498,Beavertail,absent,Beavertail
499,Bechateur,absent,Bechateur
500,Beckers,absent,Beckers
501,Beckum,absent,Beckum
502,Becraft Limestone,absent,Becraft Limestone
503,Becscie,absent,Becscie
7580,Becton,present,Becton
504,Bedded Virieu Limestone,absent,Bedded Virieu Limestone
505,Bedford Canyon,present,Bedford
6880,Bedford Shale,present,Bedford
6766,Bedinan,present,Bedinan
506,Bedoulian,absent,Bedoulian
507,Bee Low Limestones,absent,Bee Low Limestones
508,Beechhill Cove,absent,Beechhill Cove
509,Beechwood,absent,Beechwood Limestone
510,Beechwood Limestone,absent,Beechwood Limestone
511,Beekeeper,absent,Beekeeper
512,Beekmantown,absent,Beekmantown
10166,Beer Head Limestone,present,Beer Head Limestone
6895,Beers Hill equivalent,present,Beers Hill equivalent
513,Beetle Creek,absent,Beetle Creek
8645,Beglyi,present,Beglyi
514,Beianzhuang,absent,Beianzhuang
6797,Beiguoshan,present,Beiguoshan
515,Beijuntang,absent,Beijuntang
516,Beisi,absent,Beisi
8989,Beiya,present,Beiya
9596,Bejah,present,Bejah
7700,Bela,present,Bela
517,Belaya,absent,Belaya
518,Belcher Channel,absent,Belcher Channel
519,Belcourt,absent,Belcourt
7588,Belden Shale,present,Belden Shale
520,Belebei,absent,Belebei
521,Belebey,absent,Belebei
9569,Belemnite Marls,present,Belemnite Marls
522,Belemniten-Schichten,absent,Belemniten-Schichten
523,Belen,absent,Belen
8820,Belfast Mudstone,present,Belfast Mudstone
524,Belford,absent,Belford
8344,Belgrade,present,Belgrade
525,Belkovskaya,absent,Belkovskaya
526,Bell Canyon,absent,Bell Canyon
527,Bell Point Limestone,absent,Bell Point Limestone
528,Bell Shale,absent,Bell Shale
10105,Bellavally,present,Bellavally
9630,Belle Fourche,present,Belle Fourche Shale
529,Belle Fourche Shale,present,Belle Fourche Shale
530,Belle Plains,absent,Belle Plains
8724,Bellerophon,present,Bellerophon Limestone
531,Bellerophon Limestone,present,Bellerophon Limestone
6496,Bellevue,present,Bellevue
7930,Belmont,present,Belmont
532,Beloglinskaya,absent,Beloglinskaya
533,Belogrodnya,absent,Belogrodnya
7300,Belovo Horizon,present,Belovo Horizon
534,Below Genesee,absent,Below Genesee
535,Belsué-Atarés,absent,Belsué-Atarés
536,Belubula,absent,Belubula Limestone
537,Belubula Limestone,absent,Belubula Limestone
9164,Belushkin,present,Belushkin
538,Belvidere,absent,Belvidere
7417,Bembridge Limestone,present,Bembridge
7416,Bembridge Marls,present,Bembridge
539,Ben An Arreun,absent,Ben An Arreun
540,Ben Suardal Limestone,absent,Ben Suardal Limestone
541,Benassal,absent,Benassal
542,Benbolt,absent,Benbolt
543,Benbolt-Wardell,absent,Benbolt
544,Beni Zaid Limestone,absent,Beni Zaid Limestone
545,Benjamin,absent,Benjamin Limestone
546,Benjamin Limestone,absent,Benjamin Limestone
547,Bent Saidane,absent,Bent Saidane
7038,Bentham Grit,present,Bentham Grit
548,Benton,present,Benton Shale
9448,Benton Shale,present,Benton Shale
549,Benyassin Sandstone,absent,Benyassin Sandstone
550,Bera,absent,Bera
8510,Berada,present,Berada
8890,Berchem,present,Berchem
23,Berching,absent,Berching
8574,Berchogur?,present,Berchogur?
551,Bergisch Gladbach,absent,Bergisch Gladbach
552,Berikul,absent,Berikul
553,Berivotra,absent,Berivotra
6972,Berkshire Oolite,present,Berkshire Oolite
10319,Berlé,present,Berlé
7271,Bermont,present,Bermont
10148,Bernard,present,Bernard
554,Bernbjerg,absent,Bernbjerg
555,Bernissart,absent,Bernissart Calcirudites
556,Bernissart Calcirudites,absent,Bernissart Calcirudites
557,Berrico Creek,absent,Berrico Creek
558,Berriedale,absent,Berriedale
9353,Berry,present,Berry
559,Bersek Marl,absent,Bersek Marl
560,Berserker,absent,Berserker
561,Bertie,absent,Bertie
562,Besa River,absent,Besa River
10237,Besano,present,Besano
6460,Beshtash,present,Beshtash
563,Besobinsk,absent,Besobinsk
10011,Bessho,present,Bessho
564,Bestamak,absent,Bestamak
6470,Bestogai,present,Bestogai
565,Bestorp,absent,Bestorp Limestone
566,Bestorp Limestone,absent,Bestorp Limestone
567,Bet Meir or Amminadav,absent,Bet Meir or Amminadav
9503,Betakalkbank,present,Betakalkbank
568,Beudanticeras Shale,absent,Beudanticeras Shale
569,Beul,absent,Beul
570,Bexhaven Limestone,absent,Bexhaven Limestone
10187,Bey Daglan,present,Bey Daglan
7171,Bey Daglari,present,Bey Daglari
571,Beykoz,absent,Beykoz
572,Beyrichian Limestone,absent,Beyrichian Limestone
573,Beyrichienkalk,absent,Beyrichienkalk
574,Bezymyanny,absent,Bezymyanny
575,Bhadasar,absent,Bhadasar
8087,Bhuj,present,Bhuj
576,Bi'r al Qasr,absent,Bi'r al Qasr
577,Bi'R al Qasr,absent,Bi'r al Qasr
578,Biabanak Shale,absent,Biabanak Shale
579,Biancone,absent,Biancone
580,Biandanshan,absent,Biandanshan
9896,Bianjinggou,present,Bianjinggou
581,Bianmachong,absent,Bianmachong
582,Bianyang,absent,Bianyang
8315,Bibai,present,Bibai
583,Bicken-Ense,absent,Bicken-Ense
584,Bickham,absent,Bickham
585,Biely Potok,absent,Biely Potok
7332,Bier Pudingstone,present,Bier Pudingstone
24,Bifurcata Oolith,absent,Bifurcata Oolith
586,Big Cove,absent,Big Cove
587,Big Hill,absent,Big Hill
588,Big Stone Gap Shale,absent,Big Stone Gap Shale
589,Big Valley,absent,Big Valley
590,Bigby-Cannon,present,Bigby-Cannon
6531,Bigby-Cannon Limestone,present,Bigby-Cannon
591,Bigford,absent,Bigford
592,Biggenden,absent,Biggenden
593,Bighorn,absent,Bighorn Dolomite
594,Bighorn Dolomite,absent,Bighorn Dolomite
8854,Bihen Limestone,present,Bihen Limestone
9588,Bihin Limestone,present,Bihen Limestone
595,Bihoku,absent,Bihoku
596,Bijintawu,absent,Bijintawu
597,Bikfaya,absent,Bikfaya
8814,Bilá,present,Bila hora
598,Bila hora,present,Bila hora
599,Bilá Hora,present,Bila hora
600,Bìlà Hora,present,Bila hora
601,Bila-Hora,present,Bila hora
602,Bilka,absent,Bilka
603,Billabong Creek Limestone,absent,Billabong Creek Limestone
9419,Billhook,present,Billhook Creek
9780,Billhook Creek,present,Billhook Creek
604,Billidee,absent,Billidee
9082,Billop,present,Billop
6632,Bills Creek,present,Bills Creek
605,Bills Creek Shale,present,Bills Creek
606,Billy Creek,present,Bills Creek
9281,Bilzen,present,Bilzen
607,Bingleburra,absent,Bingleburra
9198,Birafu,present,Birafu
608,Bird Fiord,absent,Bird Fiord
7398,Bird Spring,present,Bird Spring
609,Bird Spring ,present,Bird Spring
9836,Birdlip Limestone,present,Birdlip Limestone
610,Birdlip Limestone ,present,Birdlip Limestone
611,Birdshill Limestone,absent,Birdshill Limestone
612,Birdsong Shale,absent,Birdsong Shale
8688,Bireno,present,Bireno
613,Birket Qarun,absent,Birket Qarun
614,Birmensdorf,absent,Birmensdorf
615,Birmensdorf Beds,absent,Birmensdorf
616,Birmensdorfer,absent,Birmensdorf
617,Birstonas,absent,Birstonas
618,Bisher,absent,Bisher
619,Bison Creek,absent,Bison Creek
8415,Bissekty,present,Bissekty
620,Bissex Hill,absent,Bissex Hill
621,Bissounel,absent,Bissounel
622,Bitiri,absent,Bitiri
624,Bizanet,absent,Bizanet
625,Bjorkasholmen,absent,Bjorkasholmen
626,Björkåsholmen,absent,Bjorkasholmen
627,Bjørkasholmen,absent,Bjorkasholmen
628,Bjørkåsholmen,absent,Bjorkasholmen
629,Bjorne,absent,Bjorne
630,Blaa Mountain,absent,Blaa Mountain
631,Black Alley,absent,Black Alley
632,Black Bog,absent,Black Bog
7022,Black Creek,present,Black Creek
633,Black Limestones,absent,Black Limestones
8848,Black Mingo,present,Black Mingo
634,Black Prince Limestone,absent,Black Prince Limestone
635,Black Rock,absent,Black Rock Limestone
636,Black Rock Limestone,absent,Black Rock Limestone
8351,Black Rock Sandstone,present,Black Rock Sandstone
6996,Blackdown Greensand,present,Blackdown Greensand
637,Blackhall Limestone,absent,Blackhall Limestone
7419,Blackheath Beds,present,Blackheath Beds
638,Blackstokes Limestone,absent,Blackstokes Limestone
639,Blackstone,absent,Blackstone
640,Blackwater Limestone,absent,Blackwater Limestone
7495,Blacourt,present,Blacourt
9375,Bladen,present,Bladen
641,Blagodatnian,absent,Blagodatnian
8822,Blaine,present,Blaine
7825,Blakeley,present,Blakeley
9687,Blanch Point,present,Blanch Point
7353,Blanche Point,present,Blanch Point
642,Blanche Point Marl,present,Blanch Point
643,Blanding,absent,Blanding
644,Blanquilla,absent,Blanquilla
645,Blassenstein,absent,Blassenstein
9074,Blenheim,present,Blenheim
646,Bleskovy pramen,absent,Bleskovy pramen
647,Blidene,absent,Blidene
648,Blind Fiord,absent,Blind Fiord
649,Blinovo,absent,Blinovo
7380,Blisworth Clay,present,Blisworth Clay
7376,Blisworth Limestone,present,Blisworth Limestone
8739,Blood Reserve,present,Blood Reserve
8643,Blood River Sandstone,present,Blood River Sandstone
650,Bloomfield Limestone,absent,Bloomfield Limestone
651,Bloomington,absent,Bloomington
652,Blossom Sand,absent,Blossom Sand
8824,Bloyd,present,Bloyd Shale
653,Bloyd Shale,present,Bloyd Shale
654,Blue Anchor,absent,Blue Anchor
6931,Blue Bluff,present,Blue Bluff
655,Blue Bottom,absent,Blue Bottom
656,Blue Clay,present,Blue Clay
9663,Blue Clays,present,Blue Clay
657,Blue Fiord,absent,Blue Fiord
658,Blue Fjord,absent,Blue Fiord
7200,Blue Lias,present,Blue Lias
7883,Bluestone,present,Bluestone
659,Bluff,absent,Bluff
10173,Blufftown,present,Blufftown
660,Bluish Grey Shale,absent,NA
661,Boas River,absent,Boas River
8696,Boat Cove,present,Boat Cove
6777,Boat Harbour,present,Boat Harbour
6627,Bobcaygeon,present,Bobcaygeon
662,Bobcaygeon-Verulam,present,Bobcaygeon
9322,Boca Chica,present,Boca Chica
8577,Boca de Serpiente,present,Boca de Serpiente
663,Bocchigliero,absent,Bocchigliero
664,Bochara,absent,Bochara
665,Boda,present,Boda Limestone
6697,Boda Limestone,present,Boda Limestone
666,Bodeidda Mudstone,absent,Bodeidda Mudstone
667,Bodenheim,absent,Bodenheim
9688,Bódvaszilas Sandstone,present,Bódvaszilas Sandstone
668,Bodzanów,absent,Bodzanów
669,Boets,absent,Boets
670,Bog Quartzite,absent,Bog Quartzite
671,Bogdanovka Beds,absent,Bogdanovka Beds
8833,Boggy,present,Boggy
8723,Boguchan,present,Boguchan
672,Bohdalec,absent,Bohdalec
7574,Bohio,present,Bohio
10214,Bohlen,present,Bohlen
673,Bohunice,absent,Bohunice
674,Bois Blanc,absent,Bois Blanc
675,Bois d'Arc,absent,Bois d'Arc
7123,Bois d'Ausse Sandstone,present,Bois d'Ausse Sandstone
676,Bois d’Arc,absent,Bois d'Arc
677,Bois-Roux,absent,Bois-Roux
678,Bojishan,absent,Bojishan
7968,Bojiwan,present,Bojiwan
679,Bojongmanik,absent,Bojongmanik
8551,Boka Bil,present,Boka Bil
680,Bokan,absent,Bokan
681,Bolast,absent,Bolast
682,Bolila,absent,Bolila
7473,Bolitho Mudstone,present,Bolitho Mudstone
683,Bolloncillos,absent,Bolloncillos
684,Bolognano,absent,Bolognano
685,Bolos,absent,Bolos
686,Bolshekinelskaya,absent,Bolshekinelskaya
687,Bombaso,absent,Bombaso
688,Bonanza,absent,Bonanza King
689,Bonanza King,absent,Bonanza King
690,Bond,absent,Bond
8615,Bone Spring,present,Bone Spring
691,Bone Spring Limestone,present,Bone Spring
692,Bone Valley,absent,Bone Valley
8836,Bonete,present,Bonete
693,Bongalaby,absent,Bongalaby
6707,Bønsnes,present,Bønsnes
8352,Bookpurnong,present,Bookpurnong
10052,Boom,present,Boom Clay
694,Boom Clay,present,Boom Clay
695,Boone,absent,Boone Limestone
696,Boone Limestone,absent,Boone Limestone
697,Boothia Felix,absent,Boothia Felix
698,Booti Booti Sandstone,absent,Booti Booti Sandstone
699,Boquillas,absent,Boquillas
7993,Borbon,present,Borbon
6817,Borden,present,Borden
9262,Borden Island,present,Borden
9131,Borgloon,present,Borgloon
700,Borkholm,absent,Borkholm
701,Born,absent,Born
702,Borna,absent,Borna
703,Borova,absent,Borova
10245,Borové,present,Borové
704,Borrachon,absent,Borrachon
705,Borshchiv,absent,Borshchiv
8272,Borskaya,present,Borskaya
7244,Bortepa,present,Bortepa
706,Boruszowice,absent,Boruszowice
707,Borysthenic,absent,Borysthenic
708,Borzavar Limestone,absent,Borzavar Limestone
709,Botella-Quarzit,absent,Botella-Quarzit
8385,Boteni,present,Boteni
710,Botetourt,absent,Botetourt
10110,Botneheia,present,Botneheia
711,Bou Dib,absent,Bou Dib
712,Bou Gabrine,absent,Bou Gabrine
713,Bou Nebedou,absent,Bou Nebedou
714,Bou Regreg,absent,Bou Regreg
715,Bou Regreg Limestone,absent,Bou Regreg Limestone
716,Bou Tchrafine,absent,Bou Tchrafine
717,Bou Zeroual,absent,Bou Zeroual
718,Bou-Dib,absent,Bou-Dib
719,Bou-Rifi,absent,Bou-Rifi
720,Bouia,absent,Bouia
721,Boulder Creek,absent,Boulder Creek
9273,Bourake,present,Bourake
9516,Bouraké,present,Bourake
722,Bouraké B,present,Bourake
8419,Bourg-des-Maisons,present,Bourg-des-Maisons
723,Bourran,absent,Bourran
7925,Bowden,present,Bowden
724,Bowen,absent,Bowen
725,Bowland Shale,absent,Bowland Shale
726,Bowling Green,absent,Bowling Green
727,Bowling Green Dolomite,absent,Bowling Green
9415,Bowser,present,Bowser
728,Boyle,absent,Boyle
729,Bozeş,absent,Bozeş
730,Brachyanticlinal of Caneças,absent,Brachyanticlinal of Caneças
7575,Bracklesham Beds,present,Bracklesham Beds
731,Brackwater Molasse,absent,Brackwater Molasse
732,Bracquegnies,absent,Bracquegnies
10159,Brad,present,Brad
8132,Brae,present,Brae
10303,Bragdon,present,Bragdon
733,Braies,absent,Braies
6564,Brainard,present,Brainard
734,Brainard Shale,present,Brainard
735,Bräkerkopf,absent,Bräkerkopf
736,Braksoya,absent,Braksoya
7942,Branch Canyon,present,Branch Canyon
737,Branch Creek,absent,Branch Creek
9132,Branden Clay,present,Branden Clay
8149,Branderfleck,present,Branderfleck
738,Brandon Bridge,absent,Brandon Bridge
9222,Branxton,present,Branxton
739,Brasov,absent,Brasov
740,Brassfield,absent,Brassfield
741,Brassfield Limestone,absent,Brassfield
8866,Brasso,present,Brasso
8437,Brasso Clay,present,Brasso
742,Brasta,absent,Brasta
743,Bråstad Shale,absent,Bråstad Shale
744,Braunjura beta,absent,Braunjura
745,Braunjura gamma,absent,Braunjura
746,Braunlicher Plattenkalk,absent,Braunlicher Plattenkalk
747,Bravaisberget,absent,Bravaisberget
748,Brazer Dolomite,absent,Brazer Dolomite
6789,Breadstone Shales,present,Breadstone Shales
9558,Breathitt,present,Breathitt
749,Brechas de Buenavista,absent,Brechas de Buenavista
7892,Brèches rouges de Carboneras,present,Brèches rouges de Carboneras
8787,Breda,present,Breda
8498,Bredasdorp,present,Bredasdorp
750,Breitfeld- Steinebrück,absent,Breitfeld- Steinebrück
751,Breivik,absent,Breivik
7063,Brejning Clay,present,Brejning Clay
6616,Brejo Fundeiro,present,Brejo Fundeiro
7230,Brenha,present,Brenha
752,Breno,absent,Breno
8089,Brenton,present,Brenton
753,Brentskardhaugen Bed,absent,Brentskardhaugen Bed
754,Brezina,absent,Brezina
755,Březina,absent,Brezina
756,Brezno,absent,Brezno
7231,Brian de Vère,present,Brian de Vère
757,Bricklieve Limestone,absent,Bricklieve Limestone
758,Bridgeboro,present,Bridgeboro Limestone
7262,Bridgeboro Limestone,present,Bridgeboro Limestone
7225,Bridport Sand,present,Bridport Sand
759,Brießnitz,absent,Brießnitz
760,Briggs,absent,Briggs
6358,Bright Angel,present,Bright Angel
761,Brighton,absent,Brighton
8657,Brightseat,present,Brightseat
6383,Brigus,present,Brigus
762,Briket Qarun,absent,Briket Qarun
763,Brilon Massenkalk,absent,Brilon Massenkalk
764,Brilon Shale,absent,Brilon Shale
765,Bringewood,present,Bringewood
9556,Bringewood Beds,present,Bringewood
10254,Briones,present,Briones
766,Brisbois,absent,Brisbois
767,Brito,absent,Brito
9370,Britton,present,Britton
10158,Broadford Beds,present,Broadford Beds
768,Broccatello,absent,Broccatello
7226,Brock Shale,present,Brock Shale
769,Brogans Creek Limestone,absent,Brogans Creek Limestone
7763,Broken River,present,Broken River
770,Broken Skull,absent,Broken Skull
7909,Brokenback Hill,present,Brokenback Hill
771,Bromberg,absent,Bromberg
6665,Bromide,present,Bromide
772,Bronchales,absent,Bronchales
25,Brongniarti-Pläner,absent,Brongniarti-Pläner
773,Bronydd,absent,Bronydd
774,Broughton,absent,Broughton
775,Browgill,absent,Browgill
7732,Browns Creek,present,Browns Creek
776,Browns Creek Clay,present,Browns Creek
6424,Browns Pond,present,Browns Pond
777,Brownsport,absent,Brownsport
10089,Brownstown,present,Brownstown
7723,Bruderndorf,present,Bruderndorf
778,Bruflat,absent,Bruflat
9358,Brumby,present,Brumby
779,Brunel Beds,absent,Brunel Beds
780,Brushy Canyon,absent,Brushy Canyon
781,Brussel,absent,Brussels Sand
782,Brussels,absent,Brussels Sand
783,Brussels Sand,absent,Brussels Sand
784,Brussles,absent,Brussles
8501,Bruxelles,present,Bruxelles
8500,Bruxellian,present,Bruxellian
785,Bryanchevskaya,absent,Bryanchevskaya
6567,Bryn Siltstone,present,Bryn Siltstone
786,Bryozoan Limestone,absent,Bryozoan Limestone
8490,Bu Hashish,present,Bu Hashish
7695,Buccleuch,present,Buccleuch
7285,Buchan Caves Limestone,present,Buchan Caves Limestone
7373,Bücheler,present,Bücheler
787,Bücheler Schichten,present,Bücheler
788,Buchenstein,absent,Buchenstein
789,Buchenstein ,absent,Buchenstein
790,Buchenstein Beds,absent,Buchenstein
791,Buchsteiner,absent,Buchsteiner
792,Bucke,absent,Bucke
9205,Bückeberg,present,Bückeberg
9482,Buckingham,present,Buckingham
793,Buckinghorse,absent,Buckinghorse
794,Buckinghorse Shale,absent,Buckinghorse Shale
795,Buckskin Mountain,absent,Buckskin Mountain
9958,Buda Limestone,present,Buda Limestone
796,Buda Marl,present,Buda Limestone
797,Buday'ah,absent,Buday'ah
6849,Budden Canyon,present,Budden Canyon
9047,Buechel,present,Buechel
798,Buelna,absent,Buelna
6440,Buen,present,Buen
799,Buenevara Adentro,absent,Buenevara Adentro
8131,Buffel,present,Buffel
800,Bugali,absent,Bugali
801,Bugarone,absent,Bugarone
802,Bugarone Inferiore,absent,Bugarone
803,Bugarone superiore,absent,Bugarone
804,Bugle Gap Limestone,absent,Bugle Gap Limestone
805,Bugryshikha,absent,Bugryshikha
806,Bugryshikhinskaya,absent,Bugryshikhinskaya
807,Builth Volcanic,absent,Builth Volcanic
8702,Bulgadoo,present,Bulgadoo
6492,Bull Fork,present,Bull Fork
10040,Bulog,present,Bulog
808,Bulongguoer,absent,Bulongguoer
809,Bulunkan,absent,Bulunkan
9008,Bumpnose,present,Bumpnose
9084,Bundella,present,Bundella
8057,Bundera Calcarenite,present,Bundera Calcarenite
8220,Bunjo,present,Bunjo
810,Bunte Tonschiefer,absent,Bunte Tonschiefer
9291,Buqu,present,Buqu
811,Bur,absent,Bur
7007,Burdekin,present,Burdekin Limestone
812,Burdekin Limestone,present,Burdekin Limestone
813,Buregi,absent,Buregi
814,Burgali,absent,Burgali
815,Burges,absent,Burges
8104,Burgeschleinitz,present,Burgeschleinitz
6431,Burgess Shale,present,Burgess Shale
816,Burgsvik,absent,Burgsvik
7107,Burgsvik Beds,present,Burgsvik Beds
8060,Burham Limestone,present,Burham Limestone
8152,Burica Sandstone,present,Burica Sandstone
817,Burim,absent,Burim
818,Burj,absent,Burj
9344,Burlingame,present,Burlingame
